INSERTION,MERGE,QUICK,COUNTING,RADIX
0.024752,0.032768,0.02088,1e-05,1.3e-05
0.019732,0.040736,0.0135,9e-06,1.3e-05
0.034756,0.058252,0.028024,1.3e-05,2.2e-05
0.05508,0.106388,0.029976,1e-05,1.6e-05
0.062764,0.082732,0.03752,1.1e-05,2.2e-05
0.08476,0.10908,0.048156,1e-05,2.3e-05
0.11634,0.138604,0.062604,1.4e-05,2.8e-05
0.15098,0.156124,0.0766,1.5e-05,3e-05
0.174352,0.190528,0.092856,1.7e-05,4.1e-05
0.211152,0.226972,0.152792,1.9e-05,3.6e-05
0.272668,0.237836,0.120272,1.8e-05,3.8e-05
0.318708,0.274372,0.13188,2.1e-05,4.2e-05
0.350436,0.296216,0.14944,3.6e-05,7.2e-05
0.511532,0.324404,0.170304,2.4e-05,5.1e-05
0.46738,0.371772,0.189172,2.5e-05,5.4e-05
0.469944,0.424264,0.186236,2.7e-05,5.7e-05
0.562436,0.41726,0.20708,2.7e-05,6e-05
0.59052,0.43328,0.22452,2.8e-05,6.2e-05
0.650672,0.453176,0.24448,3e-05,6.7e-05
0.731088,0.491956,0.258868,3.1e-05,7.5e-05
0.803024,0.517204,0.27678,3.4e-05,7.3e-05
0.872936,0.54968,0.349336,3.5e-05,7.6e-05
0.92746,0.581524,0.301228,3.8e-05,8.1e-05
1.01947,0.612892,0.342332,3.8e-05,8.1e-05
1.10758,0.663744,0.3787,3.9e-05,9.5e-05
1.25875,0.708532,0.375044,4.1e-05,8.8e-05
1.27605,0.71504,0.413924,6.9e-05,0.000133
1.36684,0.756684,0.439816,4.7e-05,9.5e-05
1.4982,0.773968,0.425544,4.7e-05,0.000101
1.64604,0.840392,0.48126,4.9e-05,0.000103
1.72267,0.837308,0.436444,5e-05,0.000108
1.80624,0.863772,0.46088,5.1e-05,0.000116
1.8187,0.89428,0.489756,5.3e-05,0.000114
1.94471,0.927064,0.48292,5.5e-05,0.000117
2.11019,1.0586,0.53984,5.9e-05,0.000123
2.19183,1.05035,0.54066,8.8e-05,0.000187
2.41832,1.10742,0.548016,5.8e-05,0.000127
2.86324,1.05531,0.577852,5.9e-05,0.000131
2.55072,1.07493,0.595732,6e-05,0.000133
2.61032,1.12342,0.60904,6.5e-05,0.000137
2.81468,1.14444,0.6926,6.6e-05,0.00014
3.00192,1.20914,0.67162,6.7e-05,0.000144
2.93384,1.43018,0.720536,7e-05,0.000148
3.1822,1.23763,0.684768,7.1e-05,0.00015
3.33891,1.29267,0.691412,7e-05,0.000152
3.4323,1.33714,0.738696,7.2e-05,0.000183
3.65081,1.35798,0.76652,7.4e-05,0.000167
3.65447,1.3776,0.757512,7.7e-05,0.000163
3.98445,1.44826,0.805264,8e-05,0.000167
4.0372,1.48142,0.885612,7.7e-05,0.000172